,No.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
926,928,2,4.0,0,3.0,1,3,8.0,9,2.0,1.0,1.0,1,1,2.0,4,3,2.0,2,1.0,3.0,2.0,1.0,1.0,1.0,3,3.0,1.0,1,1.0,10.0
927,929,2,5.0,0,3.0,1,3,8.0,14,2.0,3.0,2.0,4,7,2.0,2,2,5.0,5,1.0,5.0,2.0,1.0,1.0,2.0,4,2.0,2.0,1,2.0,10.0
928,930,1,5.0,0,3.0,1,6,8.0,7,2.0,1.0,1.0,2,5,2.0,3,3,2.0,4,3.0,3.0,3.0,2.0,2.0,2.0,3,3.0,3.0,2,3.0,7.0
929,931,2,2.0,0,2.0,1,9,8.0,12,1.0,4.0,2.0,2,0,1.0,3,2,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1,2.0,1.0,1,1.0,9.0
930,932,1,2.0,0,1.0,1,10,3.0,3,1.0,2.0,2.0,2,0,2.0,2,2,1.0,1,2.0,2.0,2.0,2.0,4.0,2.0,3,3.0,2.0,3,2.0,8.0
931,933,1,3.0,0,3.0,1,9,8.0,3,2.0,1.0,1.0,2,0,2.0,2,2,4.0,4,3.0,3.0,3.0,2.0,4.0,3.0,3,3.0,3.0,2,2.0,6.0
932,934,2,6.0,0,3.0,1,1,8.0,14,2.0,1.0,2.0,1,6,1.0,1,1,1.0,2,1.0,2.0,2.0,1.0,1.0,1.0,1,2.0,1.0,3,1.0,9.0
933,935,2,2.0,0,2.0,1,4,8.0,12,2.0,4.0,2.0,1,1,1.0,1,3,1.0,1,2.0,1.0,2.0,1.0,1.0,2.0,3,2.0,2.0,1,2.0,8.0
934,936,2,4.0,1,3.0,1,2,8.0,8,2.0,4.0,2.0,1,3,3.0,2,2,1.0,2,2.0,2.0,3.0,1.0,1.0,3.0,3,4.0,3.0,1,2.0,5.0
935,937,1,2.0,0,2.0,1,4,8.0,10,2.0,1.0,1.0,2,0,3.0,3,3,2.0,3,3.0,3.0,2.0,2.0,2.0,3.0,3,4.0,4.0,3,2.0,7.0
936,938,1,3.0,0,3.0,1,8,8.0,7,2.0,1.0,1.0,1,0,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,2.0,3.0,2,2.0,7.0
937,939,1,5.0,0,1.0,1,8,8.0,3,2.0,1.0,2.0,2,4,2.0,2,2,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,1.0,9.0
938,940,1,5.0,0,1.0,1,8,8.0,3,2.0,1.0,1.0,3,3,1.0,1,1,2.0,2,2.0,1.0,1.0,2.0,1.0,1.0,1,1.0,1.0,1,1.0,10.0
939,941,2,6.0,0,3.0,1,2,8.0,13,3.0,1.0,2.0,1,2,3.0,3,3,3.0,2,2.0,2.0,4.0,3.0,3.0,2.0,2,3.0,2.0,2,2.0,3.0
940,942,2,6.0,0,1.0,1,2,8.0,13,2.0,1.0,2.0,1,5,2.0,2,3,1.0,2,1.0,2.0,2.0,2.0,2.0,2.0,5,5.0,3.0,2,3.0,6.0
943,945,1,3.0,0,1.0,2,8,8.0,9,2.0,2.0,1.0,4,2,4.0,4,4,3.0,5,3.0,4.0,4.0,5.0,5.0,3.0,5,5.0,5.0,3,1.0,5.0
944,946,2,3.0,0,3.0,1,3,8.0,8,2.0,4.0,2.0,1,0,5.0,3,2,5.0,5,2.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,2,5.0,0.0
945,947,2,2.0,0,3.0,1,5,2.0,14,2.0,2.0,2.0,3,1,2.0,4,4,4.0,3,4.0,3.0,3.0,3.0,4.0,3.0,3,3.0,2.0,2,3.0,5.0
946,948,2,2.0,0,3.0,1,6,2.0,14,2.0,1.0,1.0,1,0,1.0,2,3,2.0,3,2.0,2.0,2.0,3.0,2.0,1.0,2,3.0,3.0,1,3.0,7.0
947,949,1,3.0,0,3.0,1,9,2.0,9,1.0,1.0,1.0,2,0,2.0,3,2,3.0,2,2.0,2.0,3.0,3.0,4.0,2.0,2,3.0,3.0,2,2.0,8.0
948,950,2,2.0,0,1.0,1,8,2.0,8,1.0,4.0,2.0,2,1,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,2,2.0,6.0
949,951,1,2.0,0,3.0,2,8,2.0,4,2.0,4.0,2.0,2,2,3.0,3,3,4.0,2,2.0,2.0,3.0,3.0,4.0,3.0,3,3.0,3.0,2,1.0,7.0
950,952,2,4.0,0,1.0,1,9,2.0,3,4.0,1.0,1.0,3,0,2.0,2,2,2.0,3,2.0,2.0,3.0,2.0,3.0,2.0,2,3.0,2.0,2,2.0,8.0
951,953,2,2.0,0,3.0,1,6,2.0,12,1.0,4.0,2.0,1,0,3.0,4,3,3.0,2,3.0,4.0,3.0,3.0,3.0,2.0,2,3.0,3.0,2,3.0,7.0
952,954,1,2.0,0,3.0,1,8,2.0,8,1.0,4.0,2.0,1,1,3.0,3,4,3.0,3,4.0,3.0,3.0,2.0,2.0,3.0,3,4.0,3.0,1,3.0,6.0
953,955,2,2.0,0,3.0,7,5,2.0,9,1.0,1.0,2.0,2,0,2.0,3,2,2.0,2,4.0,2.0,2.0,2.0,2.0,2.0,2,2.0,3.0,2,1.0,8.0
954,956,1,2.0,0,1.0,1,10,2.0,12,1.0,4.0,2.0,1,0,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,4.0,4.0,4,3.0,4.0
955,957,2,2.0,0,3.0,1,9,2.0,12,1.0,4.0,2.0,2,0,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,4.0
956,958,2,3.0,0,3.0,1,6,2.0,6,2.0,2.0,1.0,3,0,2.0,2,2,2.0,4,2.0,2.0,3.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,8.0
957,959,1,2.0,0,1.0,1,8,2.0,10,1.0,4.0,2.0,2,1,4.0,5,4,3.0,5,3.0,2.0,3.0,1.0,2.0,2.0,2,3.0,3.0,2,2.0,7.0
958,960,1,2.0,0,3.0,1,9,7.0,10,1.0,1.0,1.0,3,1,2.0,2,3,2.0,3,2.0,2.0,1.0,1.0,3.0,2.0,2,2.0,2.0,1,1.0,10.0
959,961,2,4.0,0,3.0,1,5,2.0,14,2.0,1.0,1.0,2,0,1.0,1,1,1.0,1,1.0,2.0,1.0,1.0,2.0,1.0,2,1.0,3.0,1,1.0,10.0
960,962,2,2.0,0,3.0,1,10,2.0,7,1.0,3.0,1.0,2,0,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,6.0
961,963,1,3.0,0,3.0,1,9,1.0,4,1.0,1.0,2.0,3,0,3.0,3,3,5.0,5,2.0,2.0,2.0,2.0,5.0,2.0,5,5.0,1.0,5,1.0,6.0
962,964,2,5.0,0,3.0,6,6,2.0,9,2.0,3.0,2.0,2,8,3.0,3,3,3.0,3,2.0,2.0,3.0,2.0,2.0,2.0,3,2.0,3.0,3,3.0,6.0
963,965,1,3.0,0,3.0,2,8,8.0,9,2.0,2.0,1.0,5,0,3.0,3,3,3.0,2,3.0,3.0,1.0,3.0,3.0,2.0,3,3.0,3.0,1,1.0,9.0
964,966,2,2.0,0,1.0,1,9,1.0,7,2.0,2.0,2.0,3,0,3.0,3,3,3.0,4,5.0,3.0,2.0,2.0,4.0,3.0,4,4.0,3.0,3,2.0,8.0
965,967,1,4.0,0,1.0,1,8,7.0,12,2.0,2.0,1.0,4,4,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1,1.0,10.0
971,973,1,5.0,0,3.0,1,3,4.0,12,1.0,4.0,2.0,1,2,3.0,4,2,4.0,4,2.0,4.0,4.0,3.0,4.0,4.0,3,4.0,4.0,3,3.0,5.0
979,981,1,6.0,0,3.0,1,3,3.0,10,2.0,1.0,2.0,2,5,2.0,2,2,2.0,3,3.0,3.0,3.0,2.0,2.0,3.0,2,2.0,2.0,2,2.0,7.0
980,982,1,6.0,0,1.0,1,8,4.0,7,2.0,1.0,2.0,2,1,2.0,2,2,2.0,2,2.0,2.0,3.0,3.0,3.0,3.0,2,3.0,3.0,3,2.0,6.0
981,983,2,6.0,0,2.0,1,3,3.0,10,2.0,2.0,2.0,2,6,2.0,2,2,3.0,3,2.0,2.0,1.0,2.0,2.0,1.0,2,2.0,2.0,2,1.0,10.0
982,984,2,6.0,0,3.0,1,3,3.0,14,2.0,2.0,2.0,1,7,1.0,1,3,1.0,2,2.0,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,2,2.0,10.0
983,985,2,6.0,0,3.0,1,2,5.0,5,2.0,1.0,2.0,1,3,1.0,3,2,4.0,3,3.0,2.0,3.0,3.0,3.0,3.0,3,3.0,3.0,4,2.0,7.0
984,986,2,6.0,0,1.0,1,5,7.0,5,2.0,3.0,2.0,2,2,1.0,2,2,5.0,5,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2.0,2,1.0,9.0
985,987,2,6.0,0,3.0,1,2,2.0,15,3.0,1.0,1.0,1,2,1.0,1,2,2.0,2,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2.0,2,2.0,10.0
1000,1002,1,6.0,0,1.0,1,3,7.0,13,2.0,1.0,2.0,2,3,1.0,2,1,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,2,1.0,9.0
1001,1003,1,6.0,0,1.0,1,3,7.0,13,2.0,1.0,1.0,2,2,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,2.0,3.0,2,2.0,2.0,2,1.0,8.0
1002,1004,2,6.0,0,3.0,1,2,7.0,13,2.0,1.0,2.0,1,2,2.0,2,3,2.0,1,2.0,3.0,3.0,3.0,2.0,3.0,3,3.0,3.0,3,1.0,7.0
